selector,file,action,reason,original_declarations,new_declarations
a,main.css,trimmed (overlap removed),Removed overlapping properties ['text-decoration'] from lower-priority definition,text-decoration: underline,
html,pages/dashboard.css,trimmed (overlap removed),Removed overlapping properties ['scroll-behavior'] from lower-priority definition,scroll-behavior: auto,
html,main.css,trimmed (overlap removed),Removed overlapping properties ['scroll-behavior'] from lower-priority definition,scroll-behavior: auto !important,
.layout__overlay,layout/grid.css,trimmed (overlap removed),Removed overlapping properties ['display'] from lower-priority definition,display: block,
.sidebar__academic-year,layout/sidebar.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'margin-bottom'] from lower-priority definition",color: var(--color-primary); font-weight: var(--font-weight-medium); margin-bottom: 0,font-weight: var(--font-weight-medium)
.sidebar__header,layout/sidebar.css,trimmed (overlap removed),Removed overlapping properties ['display'] from lower-priority definition,display: none,
.header__notifications-dropdown,layout/header.css,trimmed (overlap removed),"Removed overlapping properties ['right', 'width'] from lower-priority definition",right: var(--spacing-3); width: calc(100vw - var(--spacing-6)),
.header__notifications-dropdown,layout/header.css,trimmed (overlap removed),"Removed overlapping properties ['right', 'width'] from lower-priority definition",right: var(--spacing-3); width: calc(100vw - var(--spacing-6)),
.header__user-details,layout/header.css,trimmed (overlap removed),Removed overlapping properties ['display'] from lower-priority definition,display: none,
.header__user-dropdown,layout/header.css,trimmed (overlap removed),"Removed overlapping properties ['right', 'width'] from lower-priority definition",right: var(--spacing-3); width: calc(100vw - var(--spacing-6)),
.header__user-dropdown,layout/header.css,trimmed (overlap removed),"Removed overlapping properties ['right', 'width'] from lower-priority definition",right: var(--spacing-3); width: calc(100vw - var(--spacing-6)),
.ai-analysis__title,pages/ai_analysis/ai_layout.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'font-size', 'font-weight'] from lower-priority definition",color: var(--color-text-primary); font-size: var(--font-size-3xl); font-weight: var(--font-weight-bold); line-height: 1.2; margin: 0 0 var(--spacing-2) 0,line-height: 1.2; margin: 0 0 var(--spacing-2) 0
.ai-analysis__title,pages/ai_analysis/ai_layout.css,trimmed (overlap removed),Removed overlapping properties ['font-size'] from lower-priority definition,font-size: var(--font-size-2xl),
.ai-analysis__subtitle,pages/ai_analysis/ai_layout.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'font-size', 'line-height', 'margin'] from lower-priority definition",color: var(--color-text-secondary); font-size: var(--font-size-base); line-height: 1.4; margin: 0,
.ai-analysis__subtitle,pages/ai_analysis/ai_layout.css,trimmed (overlap removed),Removed overlapping properties ['font-size'] from lower-priority definition,font-size: var(--font-size-sm),
.ai-analysis__step,pages/ai_analysis/indicator.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'display', 'flex-direction', 'gap', 'opacity', 'transition'] from lower-priority definition",align-items: center; display: flex; flex-direction: column; gap: var(--spacing-2); min-width: 80px; opacity: 0.4; transition: all var(--transition-normal),min-width: 80px
.ai-analysis__step,pages/ai_analysis/indicator.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'flex-direction', 'gap', 'min-width'] from lower-priority definition",align-items: center; flex-direction: row; gap: var(--spacing-3); min-width: auto; width: 100%,width: 100%
.ai-analysis__step--active,pages/ai_analysis/indicator.css,dropped (covered by higher priority),.ai-analysis__step--active in pages/ai_analysis/indicator.css fully subset of accumulated higher-priority declarations,opacity: 1,
